"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "YAML", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"g:\Local Disk F\Source Codes\Flutter\docare\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"g:\Local Disk F\Source Codes\Flutter\docare\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 42, 0, 0, 0, 61, 18, 121
"g:\Local Disk F\Source Codes\Flutter\docare\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 16, 6, 59
"g:\Local Disk F\Source Codes\Flutter\docare\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"g:\Local Disk F\Source Codes\Flutter\docare\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\Local Disk F\Source Codes\Flutter\docare\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"g:\Local Disk F\Source Codes\Flutter\docare\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 499, 48, 3740, 324, 13, 45, 37, 8, 96, 265, 330, 5405
