"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "YAML", "HTML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\docare\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 5, 13, 176
"g:\Local Disk F\Source Codes\Flutter\docare\lib\models\date_time.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 19
"g:\Local Disk F\Source Codes\Flutter\docare\lib\models\doctor_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 2, 5, 62
"g:\Local Disk F\Source Codes\Flutter\docare\lib\models\user_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 4, 38
"g:\Local Disk F\Source Codes\Flutter\docare\lib\navigation\navigator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"g:\Local Disk F\Source Codes\Flutter\docare\lib\public_packages.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\doctor_screens\appointment_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 75
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\doctor_screens\doctor_information_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 439, 0, 0, 41, 25, 505
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\doctor_screens\doctor_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 24, 8, 237
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\appointment_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 5, 5, 200
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\doctor_info_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 433, 0, 0, 66, 39, 538
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\fav_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 2, 4, 87
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 137, 22, 495
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 306, 0, 0, 19, 17, 342
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\onboarding_screens.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 8, 11, 167
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\otp_verification_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 23, 16, 269
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 24, 9, 229
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\role_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 1, 11, 144
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\screen_tobe_shown.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 9, 5, 33
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\screens_barrel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"g:\Local Disk F\Source Codes\Flutter\docare\lib\screens\user_screens\user_information_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 33, 12, 213
